latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,betreiber,barrierefrei,oeffnungszeiten,telefon,fax,email,website
54.084366265227374,12.1439616131325,1906a954-19b5-11e5-b64b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Lindenstr.,06640,3,b,18055,JAZ - Jugend Alternativ Zentrum,,,,+49 381 454310,,,http://www.jaz-rostock.de/
54.077750356902904,12.115024706283306,194930d0-19b5-11e5-b64d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Südstadt,0017,Albert-Einstein-Str.,00160,2,,18059,ST-Club,,,,+49 381 445030,,,http://www.stclub.de/
54.093698971886695,12.117378975355761,196a68c2-19b5-11e5-b64e-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Warnowufer,09560,56,,18057,M.A.U. Club,,,,+49 381 2023576,,,http://www.mauclub.de/
54.09582851214887,12.105759854133316,198bab7c-19b5-11e5-b64f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Kröpeliner-Tor-Vorstadt,0016,Neptunallee,88450,8,,18057,Kulturkombinat Bunker,,,,+49 381 8008927,,,http://www.bunker-rostock.de/
54.076303304457113,12.160512840042806,19acf5b6-19b5-11e5-b650-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Brinckmansdorf,0020,Neubrandenburger Str.,07190,6,,18055,Alte Zuckerfabrik,,,,+49 179 7868735,,,http://www.altezuckerfabrik.de/
54.078842166707027,12.114682775316872,19cd7f34-19b5-11e5-b651-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Südstadt,0017,Erich-Schlesinger-Str.,02030,19,a,18059,Zwischenbau,,,,+49 170 7084314,,,http://www.zwischenbau.com/
54.092525504493089,12.142607695851245,1a0ed718-19b5-11e5-b653-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Am Strande,00530,2,e,18055,bacio Club,,,,+49 381 37565575,,,http://www.bacio-club.com
54.08791330247049,12.125282368773629,1a4d338c-19b5-11e5-b655-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Kröpeliner-Tor-Vorstadt,0016,Doberaner Str.,01860,5,,18057,Theater des Friedens,,,,,,,http://www.theater-des-friedens.de
54.093149681027448,12.120435311119563,1a6af52a-19b5-11e5-b656-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Warnowufer,09560,60,,18057,Discotheque DejaVue,,,,+49 381 37799528,,,http://www.dejavue-rostock.de
54.081610158896765,12.097104062181224,1aa6d766-19b5-11e5-b658-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Hansaviertel,0014,Schillingallee,09370,41,,18059,Greifclub,,,,+49 381 2528514,,,http://www.greifclub.de/
